LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
RODESSA-GILLIAM C/P    ,GULF SOUTH PIPELINE COMPA,002005,SOUTH,M2,LA,CADDO                         ,000000100,
GULF SOUTH @ BIST REC  ,GULF SOUTH PIPELINE COMPA,002008,SOUTH,M2,LA,BIENVILLE                     ,000100000,
TGT @ W MEMPHIS IC     ,TEXAS GAS TRANSMISSION LL,002017,NORTH,M2,MS,DE SOTO                       ,000052000,
ONEOK @ CUSTER CO RCT  ,ONEOK FIELD SERVICES COMP,002019,WEST1,M2,OK,CUSTER                        ,000100000,
ANR @ CUSTER RCT       ,ANR PIPELINE COMPANY     ,002024,WEST1,M2,OK,CUSTER                        ,000215000,
TRANSOK @ RED OAK      ,TRANSOK  INC.            ,002039,NEUT ,M2,OK,LATIMER                       ,000080000,
ATMOS @ WOOD COUNTY    ,ATMOS PIPELINE - TEXAS A ,002058,SOUTH,M2,TX,WOOD                          ,000028000,
ONEOK @ RED OAK-LATIMER,ONEOK GAS TRANSPORTATION ,002060,NEUT ,M2,OK,LATIMER                       ,000170000,
PEPL @ CUSTER REC DISPL,P E P L                  ,002068,WEST1,M2,OK,CUSTER                        ,000156000,
ONEOK @ PANTHER CREEK  ,ONEOK FIELD SERVICES COMP,002078,WEST1,M2,OK,CUSTER                        ,000100000,
EL PASO @ LINE 2 SOUTH ,EL PASO NATURAL GAS COMPA,002083,WEST1,M2,TX,WHEELER                       ,000144000,
MIDCOAST-ELK CITY REC  ,MIDCOAST MARKETING (U.S.),002085,WEST1,M2,OK,BECKHAM                       ,000060000,
TRANSOK @ NAGGS        ,TRANSOK  INC.            ,002086,WEST1,M2,OK,BECKHAM                       ,000040000,
DEVON NORTHRIDGE IC_-  ,ENLINK MIDSTREAM SERVICES,002198,WEST2,M2,OK,HUGHES                        ,000112000,
KN-MEP HEADER REC      ,ENABLE GAS TRANSMISSION  ,002201,CP   ,M2,LA,RICHLAND                      ,000250000,
GULF SOUTH @ BIST DEL  ,GULF SOUTH PIPELINE COMPA,003006,SOUTH,MQ,LA,BIENVILLE                     ,000125000,
AOG @ CAMERON FIELD IC ,ARKANSAS OKLAHOMA GAS COR,003011,NORTH,MQ,OK,LE FLORE                      ,000009000,
PEPL @ CUSTER DEL      ,P E P L                  ,003068,WEST1,MQ,OK,CUSTER                        ,000156000,
TENN 100 CORE DEL      ,TENNESSEE GAS PIPELINE   ,003087,SOUTH,MQ,LA,OUACHITA                      ,000420000,
EL PASO @ LINE 2 S(DEL),EL PASO NATURAL GAS COMPA,003088,WEST1,MQ,TX,WHEELER                       ,000182000,
AOG @ WITCHERVILLE     ,ARKANSAS OKLAHOMA GAS COR,003092,NORTH,MQ,AR,SEBASTIAN                     ,000028000,
AOG @ ROLAND/MOFFETT   ,ARKANSAS OKLAHOMA GAS COR,003093,NORTH,MQ,AR,SEBASTIAN                     ,000017000,
AOG @ CHISMVILLE       ,ARKANSAS OKLAHOMA GAS COR,003095,NORTH,MQ,AR,SEBASTIAN                     ,000006500,
SLIGO TO GULF SOUTH    ,GULF SOUTH PIPELINE COMPA,003119,SOUTH,MQ,LA,BOSSIER                       ,000010000,
TGT @ SEARCY DEL       ,TEXAS GAS TRANSMISSION LL,003125,NORTH,MQ,AR,WHITE                         ,000250000,
GSPL HEADER DEL        ,ENABLE GAS TRANSMISSION  ,003198,CP   ,MQ,LA,RICHLAND                      ,000426000,
GULF SOUTH @ ST-10 TP  ,GULF SOUTH PIPELINE COMPA,003199,SOUTH,MQ,LA,BIENVILLE                     ,000100000,
KN-MEP HEADER DEL      ,ENABLE GAS TRANSMISSION  ,003201,CP   ,MQ,LA,RICHLAND                      ,000250000,
SORY #1 CP             ,DAGGS PRODUCTION SERVICES,007019,NORTH,M2,AR,LOGAN                         ,000020000,
PASCHAL #1-21 CP       ,XOG OPERATING LLC        ,007037,NORTH,M2,AR,LOGAN                         ,000010000,
ROSS BLATY #1-16 CP    ,ROSS EXPLORATIONS INC    ,007087,NORTH,M2,AR,LOGAN                         ,000000500,
DIXON D #2 CP          ,SEBEP  L.L.C             ,007160,NORTH,M2,AR,JOHNSON                       ,000001500,
TAYLOR A #1-32         ,HANNA OIL & GAS CO       ,007164,NORTH,M2,OK,LE FLORE                      ,000014027,
LAWRENCE #1-14         ,BRG ENERGY INC           ,007165,NEUT ,M2,OK,LATIMER                       ,000000500,
