TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301030,NYSEG/ARLSTOR SENECA FARM TAPS CHEM,D,CHEMUNG,NY,LDC,ALL,ALL,900,Y,A,20231017,,Y,NEW YORK STATE ELECTRIC AND GAS CORPORATION,41866497,25550,Y,C000621,ASC1030D,SENECA LAKE - FARM TAPS,,,20231017 09:00
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301040,SENECA LAKE HUB,B,SCHUYLER,NY,PPT,ALL,ALL,900,N,A,20100101,,N,,,,,,,,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301070,MILL PL/ARLSTOR SENECA LAKE CHEMUNG,B,CHEMUNG,NY,INT,ALL,ALL,900,Y,A,20100101,,Y,MILLENNIUM PIPELINE COMPANY  L.L.C.,607821050,6439,Y,C000311,642672,SENECA LAKE GAS STORAGE INTERCONNECT,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301080,NYSEG/ARLSTOR ELMIRA CHEMUNG,D,CHEMUNG,NY,LDC,ALL,ALL,900,Y,A,20220406,,Y,NEW YORK STATE ELECTRIC AND GAS CORPORATION,41866497,25550,Y,C000621,ASC1080D,SENECA LAKE - ELMIRA,,,20220407 12:00
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301090,EGTS/ARLSTOR SENECA LAKE CHEMUNG,B,CHEMUNG,NY,INT,ALL,ALL,900,Y,A,20100101,,Y,EASTERN GAS TRANSMISSION AND STORAGE  INC.,116025180,3531,Y,C000160,90006,SENECA STORAGE,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302015,THOMAS CORNERS STO,B,STEUBEN,NY,VIR,ALL,ALL,200,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302020,CORNING/ARLSTOR,D,STEUBEN,NY,LDC,ALL,ALL,400,Y,A,20221007,,Y,CORNING NATURAL GAS CORP,2877231,6158,Y,C000845,2877231,CORNING NAT GAS,,,20241216 15:00
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302030,MILL PL/ARLSTOR SOUTH CHURCH RD STE,B,STEUBEN,NY,INT,ALL,ALL,400,Y,A,20100101,,Y,MILLENNIUM PIPELINE COMPANY  L.L.C.,607821050,6439,Y,C000311,640477,ARLINGTON STORAGE COMPANY  LLC,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302040,THOMAS CORNERS HUB,B,STEUBEN,NY,PPT,ALL,ALL,200,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
808419597,ARLINGTON STORAGE COMPANY,C001685,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,303000,ADRIAN FIELD - STEUBEN STO,B,STEUBEN,NY,VIR,ALL,ALL,300,Y,A,20100101,,N,,,,,,,,,,20250403 15:00
