TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47848,JACKALOP/WIC (BKD) BUCKING HORSE DE,D,CONVERSE,WY,END,WIC MB,WIC MB,460,Y,A,20250407,,Y,JACKALOPE GAS GATHERING SERVICES  L.L.C.,57520276,9268,N,,,,,,20250408 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47849,JACKALOP/WIC (BKH) BUCKING HORSE RE,R,CONVERSE,WY,PLT,WIC MB,WIC MB,460,Y,A,20201001,,Y,JACKALOPE GAS GATHERING SERVICES  L.L.C.,57520276,9268,N,,,,,,20201019 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47967,BHWYGAS/CIG (CKC) CHOKECHERRY BI-DI,B,CARBON,WY,LDC,CIG ML,CIG ML,156,Y,A,20141001,,Y,BLACK HILLS WYOMING GAS  LLC,117003540,10654,Y,C010420,7773,KM/CIG CHOKECHERRY - DELIVERY,7772,KM/CIG CHOKECHERRY - RECEIPT,20220215 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47968,BHWYGAS/WIC (WAL) WALCOTT JUNCTION,B,CARBON,WY,LDC,WIC ML,WIC ML,433,Y,A,20141024,,Y,BLACK HILLS WYOMING GAS  LLC,117003540,10654,Y,C010420,7771,KM/WIC WALCOTT JUNCTION - DELIVERY,7770,KM/WIC WALCOTT JUNCTION - RECEIPT,20220215 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47998,WESWATBG/CIG (KLG) KLUG LAKE DEL WE,D,WELD,CO,END,CIG HP,CIG HP,186,Y,A,20230418,,Y,WES WATTENBERG OIL COMPLEX LLC,117871760,10826,N,,,,,,20230501 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47999,DCP OPER/CIG (LUC) LUCERNE REC WELD,R,WELD,CO,PLT,CIG HP,CIG HP,180,Y,A,20240901,,Y,DCP OPERATING COMPANY  LP,3048753,3368,Y,C011323,47999,(LUC) LUCERNE REC,,,20240917 12:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48646,ROARFORK/WIC (SLO) SILO PLANT REC W,R,WELD,CO,PLT,WIC ML,WIC ML,448,Y,A,20221215,,Y,ROARING FORK INTERSTATE GAS TRANSMISSION  LLC,,10998,Y,C011574,48646,(SLO) SILO PLANT,,,20231004 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49051,ROCKYMTN/CIG (PWF) PRAIRIE WOLF REC,R,WELD,CO,GTH,CIG ML,CIG ML,218,Y,A,20221215,,Y,ROCKY MOUNTAIN MIDSTREAM LLC,80318307,9662,N,,,,,,20221216 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49057,RMNG/CIG (RFR) RIFLE DEL (RMNG) GAR,D,GARFIELD,CO,VIR,CIG ML,CIG ML,116,Y,A,20160601,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,49057,CIG/RMNG RIFLE DEL,,,20200827 15:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49655,ROCKYMTN/CIG (PDG) PRAIRIE DOG REC,R,WELD,CO,GTH,CIG ML,CIG ML,218,Y,A,20240901,,Y,ROCKY MOUNTAIN MIDSTREAM LLC,80318307,9662,N,,,,,,20240917 12:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49849,DCP OPER/CIG (GOB) GODFREY BOTTOMS,D,WELD,CO,END,CIG ML,CIG ML,218,Y,A,20250407,,Y,DCP OPERATING COMPANY  LP,3048753,3368,Y,C011323,49849,(GOB) GODFREY BOTTOMS DEL,,,20250408 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49942,WILLFRRA/CIG (JMC) JIM CREEK REC WE,R,WELD,CO,PLT,CIG HP,CIG HP,244,Y,A,20221215,,Y,WILLIAMS FRONT RANGE  LLC,81062030,10370,N,,,,,,20231220 09:00
6914865,COLORADO INTERSTATE GAS CO.,C000981,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49945,DCP OPER/CIG (BOR) BOURN RECEIPT WE,R,WELD,CO,PLT,CIG ML,CIG ML,218,Y,A,20211006,,Y,DCP OPERATING COMPANY  LP,3048753,3368,Y,C011323,49945,(BOR) BOURN RECEIPT,,,20220525 09:00
