TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47848,JACKALOP/WIC (BKD) BUCKING HORSE DE,D,CONVERSE,WY,VIR,WIC MB,WIC MB,460,Y,A,20250407,,Y,JACKALOPE GAS GATHERING SERVICES  L.L.C.,57520276,9268,N,,,,,,20250408 09:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47849,JACKALOP/WIC (BKH) BUCKING HORSE RE,R,CONVERSE,WY,VIR,WIC MB,WIC MB,460,Y,A,20201001,,Y,JACKALOPE GAS GATHERING SERVICES  L.L.C.,57520276,9268,N,,,,,,20210415 15:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47968,BHWYGAS/WIC (WAL) WALCOTT JUNCTION,B,CARBON,WY,VIR,WIC ML,WIC ML,433,Y,A,20141024,,Y,BLACK HILLS WYOMING GAS  LLC,117003540,10654,Y,C010420,7771,KM/WIC WALCOTT JUNCTION - DELIVERY,7770,KM/WIC WALCOTT JUNCTION - RECEIPT,20220215 09:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48084,GRASLAND/CPG (JKL) JACKSON LAKE REC,R,MORGAN,CO,PLT,CP ML,CP ML,605,Y,A,20221215,,Y,GRASSLANDS ENERGY MARKETING LLC,78835079,9378,N,,,,,,20221216 09:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48646,ROARFORK/WIC (SLO) SILO PLANT REC W,R,WELD,CO,VIR,WIC ML,WIC ML,448,Y,A,20221215,,Y,ROARING FORK INTERSTATE GAS TRANSMISSION  LLC,,10998,Y,C011574,48646,(SLO) SILO PLANT,,,20231004 09:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50671,SUMMIDJO/CPG (MKN) MAKENA REC WELD,R,WELD,CO,PLT,CP ML,CP ML,605,Y,A,20240901,,Y,SUMMIT DJ-O OPERATING  LLC,81337808,10525,N,,,,,,20240917 12:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50672,SUMMIDJO/CPG (MKB) MAKENA BUYBACK W,D,WELD,CO,PLT,CP ML,CP ML,605,Y,A,20240901,,Y,SUMMIT DJ-O OPERATING  LLC,81337808,10525,N,,,,,,20240917 12:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,56494,SPS/CP (SPS) BRICKPLANT RD HARRINGT,D,POTTER,TX,EGN,NGPL,NGPL,710,Y,A,20240601,,Y,SOUTHWESTERN PUBLIC SERVICE COMPANY,7369713,19150,N,,56494,BRICKPLANT RD HARRINGTON,,,20250401 12:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,800104,WIC/CIG (BOW) BOWIE WELD,B,WELD,CO,VIR,BOW,BOW,445,Y,A,20141101,,Y,WYOMING INTERSTATE COMPANY  L.L.C.,30669048,4669,Y,C000978,800104,WIC/CIG (BOW) BOWIE WELD,,,20210415 15:00
143363542,CHEYENNE PLAINS GAS PIPELINE,C000995,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,800115,REX/WIC (BTC) BITTER CREEK BI-DIREC,B,SWEETWATER,WY,VIR,WIC ML,WIC ML,418,Y,A,20141101,,Y,ROCKIES EXPRESS PIPELINE LLC,784256161,955,Y,C000594,42230,WIC/REX BITTER CREEK SWEETWATER,,,20210415 15:00
