TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,253200,EEC/EEC BOUNDARY- EEC (BEGIN) CHATH,D,CHATHAM,GA,OTH,ZN 1,ZN 1,270,N,A,20130101,,N,,,,,,,,,,20160401 09:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,253210,EEC/EEC BOUNDARY- EEC (END) ANDERSO,D,ANDERSON,SC,OTH,ZN 1,ZN 1,200,N,A,20130101,,N,,,,,,,,,,20160401 09:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,600453,EEC/EEC PIPELINE LOSS CAPITAL 600 E,D,JEFFERSON,GA,OTH,N/A,N/A,N/A,N,A,20130101,,N,,,,,,,,,,20161104 12:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,606360,EEC/SNG CYPRESS EFFINGHAM,D,EFFINGHAM,GA,INT,ZN 1,ZN 1,599,Y,A,20150530,,Y,ELBA EXPRESS COMPANY  L.L.C.,828834445,156,Y,C000147,606360,EEC/SNG CYPRESS EFFINGHAM,,,20161201 09:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,606370,EEC/SNG WRENS EEC TO SNG JEFFERSON,D,JEFFERSON,GA,INT,ZN 1,ZN 1,200,Y,A,20180420,,Y,ELBA EXPRESS COMPANY  L.L.C.,828834445,156,Y,C000147,606370,EEC/SNG WRENS EEC TO SNG JEFFERSON,,,20180424 15:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,606380,EEC/SNG WRENS SNG TO EEC JEFFERSON,R,JEFFERSON,GA,INT,ZN 1,ZN 1,200,Y,A,20150530,,Y,ELBA EXPRESS COMPANY  L.L.C.,828834445,156,Y,C000147,606380,EEC/SNG WRENS SNG TO EEC JEFFERSON,,,20160401 09:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,660700,ELC/EEC EEC TO ELC CHATHAM,D,CHATHAM,GA,INT,ZN 1,ZN 1,275,Y,A,20180910,,Y,ELBA LIQUEFACTION COMPANY  L.L.C.,79392535,171,Y,C000039,660700,EEC ELC EEC TO ELC CHATHAM,,,20180910 15:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,660701,EEC/ELC EEC TO ELC -  FLARE PILOT C,D,CHATHAM,GA,INT,N/A,N/A,N/A,N,I,,20171201,Y,ELBA EXPRESS COMPANY  L.L.C.,828834445,156,Y,C000147,660701,EEC/ELC EEC TO ELC-FLARE PILOT C,,,20180309 12:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,660702,EEC/ELC EEC TO ELC - FEED GAS CHATH,D,CHATHAM,GA,INT,N/A,N/A,N/A,N,I,,20171201,Y,ELBA EXPRESS COMPANY  L.L.C.,828834445,156,Y,C000147,660702,EEC/ELC EEC TO ELC-FEED GAS CHATH,,,20180309 12:00
828834445,ELBA EXPRESS,C000147,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,938000,SLNG/EEC CHATHAM,B,CHATHAM,GA,LNG,ZN 1,ZN 1,275,Y,A,20130101,,Y,SOUTHERN LNG COMPANY   L.L.C.,84376565,155,Y,C000039,938000,SLNG/EEC   CHATHAM,,,20180808 09:00
