TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,11446,RMNG/TRANSCOL OLATHE MONTROSE MONTR,D,MONTROSE,CO,VIR,NM-N,NM-N,4230,Y,A,19990901,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,36133,RMNG/TRANSCOL OLATE MONTROSE RECEIPT,,,20200311 15:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36100,MW P/L/TRANSCOL GREASEWOOD RIO BLAN,R,RIO BLANCO,CO,VIR,NM-N,NM-N,4180,N,A,20240901,,Y,MOUNTAINWEST PIPELINE  LLC,92027077,4602,Y,C001088,297,QPC GREASEWOOD DEL,,,20240917 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36101,BARGATH/TRANSCOL GREASEWOOD RIO BLA,R,RIO BLANCO,CO,VIR,NM-N,NM-N,4180,Y,I,,20250910,Y,BARGATH  LLC,22889147,5321,N,,,,,,20250910 15:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36106,TRNSWEST/TRANSCOL TRANSWESTERN BLAN,B,SAN JUAN,NM,VIR,NM-N,NM-N,4310,Y,A,20240901,,Y,TRANSWESTERN PIPELINE COMPANY  LLC,7933047,4157,Y,C000076,500632,TWPL/TRANSCOLORADO BLANCO,,,20240917 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,39798,PSCC/TRANSCOL WHITEWATER INTERCONNE,D,MESA,CO,VIR,NM-N,NM-N,4210,Y,A,20241011,,Y,PUBLIC SERVICE COMPANY OF COLORADO,6915953,26349,Y,C000821,WIT,WHITE WATER TRANSCOLORADO,,,20241011 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,40237,EXXON/TRANSCOL GREASEWOOD RIO BLANC,R,RIO BLANCO,CO,VIR,NM-N,NM-N,4180,Y,I,,20250910,Y,EXXONMOBIL CORPORATION,1213214,3870,N,,,,,,20250910 15:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,40379,SO TRLS/TRANSCOL HARE CANYON SAN JU,D,SAN JUAN,NM,VIR,NM-N,NM-N,4310,N,I,,20241001,Y,SOUTHERN TRAILS PIPELINE CO.,101589435,3744,N,,,,,,20241218 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,41781,CIG/TRANSCOL DARK CANYON RIO BLANCO,B,RIO BLANCO,CO,VIR,NM-N,NM-N,4180,Y,A,20240901,,Y,COLORADO INTERSTATE GAS COMPANY  L.L.C.,6914865,15038,Y,C000981,800196,CIG/TRANSCOL (DCM) DARK CANYON,,,20240917 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42051,RMNG/TRANSCOL ROAN CLIFFS DEBEQUE G,R,GARFIELD,CO,VIR,NM-N,NM-N,4190,N,I,,20240901,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,42051,TRANSCOL ROAN CLIFFS- DELIVERY,,,20240917 12:00
8001703,EL PASO NATURAL GAS CO. L.L.C.,C000967,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42128,RMNG/TRANSCOL WHITEWATER TBS MESA,D,MESA,CO,VIR,NM-N,NM-N,4210,Y,A,20230905,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,39900,WHITE ROCK RECEIPT PT,,,20230906 09:00
