TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44337,SABPL/KMLP  CALCASIEU,B,CALCASIEU,LA,INT,KML1,KML1,120,Y,A,20090801,,Y,SABINE PIPE LINE LLC,137609871,4406,Y,C000830,879896,KMLA-HOLMWOOD,,,20160401 09:56
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44378,FGT/KMLP  ACADIA,D,ACADIA,LA,INT,KML1,KML1,150,Y,A,20191002,,Y,FLORIDA GAS TRANSMISSION COMPANY  LLC,6924518,1445,Y,C000255,738409,ACADIA-KMLP,,,20191008 12:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44385,SPLNG/KMLP LEG 1 CAMERON,R,CAMERON,LA,LNG,KML1,KML1,100,N,I,,20201001,Y,SABINE PASS LNG  L.P.,800864527,4643,N,,,,,,20201021 15:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44389,TRUNKLNE/KMLP  JEFFERSON DAVIS,D,JEFFERSON DAVIS,LA,INT,KML1,KML1,130,N,I,,20200728,Y,TRUNKLINE GAS COMPANY  LLC,7933062,4186,Y,C000251,82739,COMPTON ROAD - KINDER MORGAN LOUISIANA PIPELINE,,,20200803 12:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44392,TEX GAS/KMLP  ACADIA,B,ACADIA,LA,INT,KML1,KML1,150,Y,A,20160406,,Y,TEXAS GAS TRANSMISSION  LLC,115972101,4076,Y,C000592,9046,KINDER MORGAN-S. EUNICE,,,20181214 09:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44395,ANR/KMLP  ACADIA,B,ACADIA,LA,INT,KML1,KML1,150,Y,A,20130228,,Y,ANR PIPELINE COMPANY,6958581,2686,Y,C000623,767091,ACADIA 2 INT,,,20181207 15:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44396,TET/KMLP  EVANGELINE,B,EVANGELINE,LA,INT,KML1,KML1,160,Y,A,20191002,,Y,TEXAS EASTERN TRANSMISSION. LP,7932908,4074,Y,C000094,73568,EVANGELINE,,,20221103 12:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44397,TRNSCO/KMLP  EVANGELINE,D,EVANGELINE,LA,INT,KML1,KML1,170,Y,A,20210301,,Y,TRANSCONTINENTAL GAS PIPELINE COMPANY  LLC,7933021,4153,Y,C000654,9004962,EVANGELINE OSHR,,,20210301 09:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44398,COL GULF/KMLP  EVANGELINE,B,EVANGELINE,LA,INT,KML1,KML1,180,Y,A,20130228,,Y,COLUMBIA GULF TRANSMISSION CO.,7854581,15040,Y,C000307,4206,KINDER MORGAN LA.,,,20181201 09:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44399,SPLNG/KMLP LEG 2 RB CAMERON,R,CAMERON,LA,LNG,KML2,KML2,200,N,A,20090401,,Y,SABINE PASS LNG  L.P.,800864527,4643,N,,,,,,20160523 15:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44402,TRNSCO/KMLP JOHNSONS BAYOU SW,D,CAMERON,LA,VIR,KML2,KML2,220,Y,A,20110101,,N,,,,,,,,,,20160401 09:56
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44403,EGAN HUB/KMLP  ACADIA,B,ACADIA,LA,STR,KML1,KML1,140,Y,A,20100601,,Y,EGAN HUB STORAGE  LLC,835460478,4790,Y,C000086,45122,KINDER MORGAN,,,20160523 15:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44404,PINE PRA/KMLP  ACADIA,B,ACADIA,LA,STR,KML1,KML1,150,Y,A,20090601,,Y,PINE PRAIRIE ENERGY CENTER  LLC,187408526,4773,Y,C001058,835565,KMLA PIPELINE,,,20160608 12:00
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44405,NGPL/KMLP,B,CAMERON,LA,VIR,KML2,KML2,210,Y,A,20090417,,N,,,,,,,,,,20160401 09:56
809611911,KM LOUISIANA PIPELINE,C000231,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44411,BRIDGHOL/KMLP JOHNSONS BAYOU,D,CAMERON,LA,VIR,KML2,KML2,220,Y,A,20110301,,N,,,,,,,,,,20160401 09:56
