TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44438,EMP-EOIT/MEP BENNINGTON BRYAN,R,BRYAN,OK,INT,ZONE 1,ZONE 1,100,Y,A,20200210,,Y,ENABLE OKLAHOMA INTRASTATE TRANSMISSION  LLC,7205412,5963,Y,C000960,33758,MEP-BENNINGTON BRYAN,,,20200211 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44439,MEP/NGPL LAMAR,R,LAMAR,TX,INT,ZONE 1,ZONE 1,120,Y,A,20200323,,Y,MIDCONTINENT EXPRESS PIPELINE LLC,808150895,4706,Y,C000235,44439,MEP/NGPL  LAMAR,,,20241216 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44440,HPL/MEP LAMAR,R,LAMAR,TX,INT,ZONE 1,ZONE 1,120,Y,A,20200210,,Y,HOUSTON PIPE LINE COMPANY LP,4788188,1947,Y,C001003,980533,HPL/MEP - LAMAR,,,20241216 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44443,TEX GAS/MEP PERRYVILLE OUACHITA,D,OUACHITA,LA,INT,ZONE 1,ZONE 1,140,Y,A,20200210,,Y,TEXAS GAS TRANSMISSION  LLC,115972101,4076,Y,C000592,9009,MIDCONTINENT-PERRYVILLE,,,20200211 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44444,ANR/MEP PERRYVILLE RICHLAND,D,RICHLAND,LA,INT,ZONE 1,ZONE 1,140,Y,A,20251009,,Y,ANR PIPELINE COMPANY,6958581,2686,Y,C000623,803183,MIDCONTINENT EXPRESS,,,20251014 09:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44445,COL GULF/MEP PERRYVILLE MADISON,D,MADISON,LA,INT,ZONE 1,ZONE 1,150,Y,A,20200210,,Y,COLUMBIA GULF TRANSMISSION CO.,7854581,15040,Y,C000307,4209,MIDCONTINENT EXPRESS,,,20200211 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44448,TET/MEP HINDS,D,HINDS,MS,INT,ZONE 2,ZONE 2,210,Y,A,20210406,,Y,TEXAS EASTERN TRANSMISSION. LP,7932908,4074,Y,C000094,73569,MEP,,,20241216 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44449,SNG/MEP  SMITH,D,SMITH,MS,INT,ZONE 2,ZONE 2,210,Y,A,20090919,,Y,SOUTHERN NATURAL GAS COMPANY  L.L.C.,6900518,3705,Y,C000021,44449,SNG/MEP  SMITH,,,20250205 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44450,DESTIN/MEP CLARK,D,CLARKE,MS,INT,ZONE 2,ZONE 2,210,Y,A,20200210,,Y,DESTIN PIPELINE COMPANY  LLC,809423697,3605,Y,C000055,MIDCON,MIDCONTINENT EXPRESS PIPELINE,,,20241216 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44451,TRNSCO/MEP DEL CHOCTAW,D,CHOCTAW,AL,INT,ZONE 2,ZONE 2,210,Y,A,20091022,,Y,TRANSCONTINENTAL GAS PIPELINE COMPANY  LLC,7933021,4153,Y,C000654,9004982,PINE VIEW,,,20160401 10:22
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44577,TGP/MEP JASPER,D,JASPER,MS,INT,ZONE 2,ZONE 2,210,Y,A,20200210,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,44577,TGP/MEP  JASPER,,,20241216 15:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44598,GULFRUN/MEP DELHI RICHLAND,B,RICHLAND,LA,INT,ZONE 2,ZONE 1,160,Y,A,20090501,,Y,GULF RUN TRANSMISSION  LLC,118760527,11091,Y,C011606,3201,KN-MEP HEADER DEL,2201,KN-MEP HEADER REC,20230202 12:00
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44599,EMP-EOIT/MEP WEST POOL BRYAN,R,BRYAN,OK,INT,ENOGEX,ENOGEX,10,Y,A,20090601,,Y,ENABLE OKLAHOMA INTRASTATE TRANSMISSION  LLC,7205412,5963,Y,C000960,W-TRANSFER,WEST TRANSFER,,,20160401 10:22
808150895,MIDCONTINENT EXPRESS PIPELINE,C000235,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44600,EMP-EOIT/MEP EAST POOL BRYAN,R,BRYAN,OK,INT,ENOGEX,ENOGEX,10,N,A,20090601,,Y,ENABLE OKLAHOMA INTRASTATE TRANSMISSION  LLC,7205412,5963,Y,C000960,E-TRANSFER,EAST TRANSFER,,,20200601 09:00
