TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47843,CR/MPC (DSUNSET) PP KERN,D,KERN,CA,END,CA,CA,3140,Y,A,20230501,,Y,CALIFORNIA RESOURCES PRODUCTION CORPORATION,,8400,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47844,EBNR/MPC (DEQUINOX) EQUINOX DEL,D,KERN,CA,END,CA,CA,3140,Y,A,20240826,,Y,E & B NATURAL RESOURCES MANAGEMENT CORPORATION,797175627,9309,N,,,,,,20240826 12:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47845,HATHW/MPC (DEDSNDEL) EDISON DEL,D,KERN,CA,END,CA,CA,3140,Y,A,20240530,,Y,HATHAWAY LLC,779981666,9130,N,,,,,,20240530 12:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49609,MPC/MPC (DKERNCON) PSEUDO DEL KERN,B,KERN,CA,OTH,CA,CA,3080,N,A,20170301,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50545,SENECA/MPC (DCORPDEL) CORPUS DELIVE,D,KERN,CA,END,CA,CA,3160,Y,A,20231017,,Y,SENECA RESOURCES COMPANY  LLC,7912918,16822,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,53650,EBNR/MPC (DEGLCRST) EAGLECREST DELI,D,KERN,CA,END,CA,CA,3140,Y,A,20231017,,Y,E & B NATURAL RESOURCES MANAGEMENT CORPORATION,797175627,9309,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,54857,SENTINEL/MPC (DCYMRICD) CYMRIC DELI,D,KERN,CA,END,CA,CA,3160,Y,A,20200601,,Y,SENTINEL PEAK RESOURCES CALIFORNIA LLC,80498881,10811,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,56155,CALPORT/MPC (DOAKCRKD) OAK CREEK DE,D,KERN,CA,END,CA,CA,3100,Y,A,20230101,,Y,CALPORTLAND COMPANY,,10756,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,300794,EPNG/MPC (DCADIZ) CADIZ INTERCONNEC,D,SAN BERNARDINO,CA,INT,CA,CA,3040,N,A,20160601,,Y,EL PASO NATURAL GAS COMPANY  L.L.C.,8001703,1279,Y,C000967,467237,ICADIZ,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301248,MPC/MPC (EPTOPPRK) EPNG TOPOCK MOHA,B,MOHAVE,AZ,OTH,N/A,N/A,N/A,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,301377,MPC/EPNG (ICADIZ) CADIZ INTERCONNEC,B,SAN BERNARDINO,CA,INT,CA,CA,3040,Y,A,20160601,,Y,MOJAVE PIPELINE COMPANY  L.L.C.,620365619,19735,Y,C001014,301377,MPC/EPNG (ICADIZ) CADIZ INTERCONNEC,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302144,LAPLMGEN/MPC (LAPALOMA) PP DEL NORT,D,DEL NORTE,CA,EGN,CA,CA,3160,Y,A,20160601,,Y,LA PALOMA GENERATING COMPANY  LLC,603622874,8409,N,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302190,MPC/MPC (LOAN) LOAN SERVICES DEL NO,B,DEL NORTE,CA,OTH,CA,CA,360,N,I,,20160601,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302215,(MOJAVE) EP POOL,B,DEL NORTE,CA,OTH,CA,CA,360,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302217,MPC/MPC (MOJMLPRK) MOJAVE MAINLINE,B,DEL NORTE,CA,OTH,N/A,N/A,N/A,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302232,(OXY POOL) OXY POOL,B,DEL NORTE,CA,OTH,CA,CA,3160,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302233,MPC/MPC (OXY17PRK) OXY USA DEL NORT,B,DEL NORTE,CA,OTH,N/A,N/A,N/A,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302235,MPC/MPC (PARK) MPOC SYSTEM PARK DEL,B,DEL NORTE,CA,OTH,CA,CA,360,N,I,,20160601,N,,,,,,,,,,20240217 09:00
620365619,MOJAVE PIPELINE CO,C001014,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,302269,MPC/MPC (PURCHMOJ) PURCHASE GAS MOJ,R,DEL NORTE,CA,OTH,N/A,N/A,N/A,Y,A,20160601,,N,,,,,,,,,,20240217 09:00
