TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44449,SNG/MEP  SMITH,R,SMITH,MS,INT,ZN 1,ZN 1,410,Y,A,20090919,,Y,SOUTHERN NATURAL GAS COMPANY  L.L.C.,6900518,3705,Y,C000021,44449,SNG/MEP SMITH,,,20250205 15:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49128,TET/SNG KOSCIUSKO ATTALA,R,ATTALA,MS,INT,ZN 1,ZN 1,50,Y,A,20160801,,Y,TEXAS EASTERN TRANSMISSION. LP,7932908,4074,Y,C000094,73904,SOUTHERN NATURAL GAS KOSCIUSKO REVERSAL,,,20190109 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49433,BBT ALTN/SNG ALATENN LIMESTONE,B,LIMESTONE,AL,INT,ZN 2,ZN 2,100,Y,A,20210401,,Y,BBT ALATENN  LLC,6900773,6511,Y,C001023,020315,SNG ALA TENN DELIVERY,,,20210427 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49593,ATMOS-MS/SNG WEST POINT #2 CLAY,D,CLAY,MS,LDC,ZN 1,ZN 1,60,Y,A,20191002,,Y,ATMOS ENERGY CORPORATION - MISS DIVISION,6964415,6522,N,,,,,,20191008 12:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,49760,HIOILGAS/SNG BAYOU LONG ST MARTIN,R,ST MARTIN,LA,WHD,ZN 0,ZN 0,340,N,I,,20240723,Y,HIGHLANDER OIL & GAS ASSETS LLC,,10547,N,,,,,,20240808 12:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50069,TRNSCO/SNG FAIRBURN TO SNG FAYETTE,R,FAYETTE,GA,INT,ZN 3,ZN 3,510,Y,A,20190401,,Y,TRANSCONTINENTAL GAS PIPELINE COMPANY  LLC,7933021,4153,Y,C000654,9010318,GINGER CAKE,,,20190404 12:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50070,UPSFUEL/SNG SANDY CREEK FULTON,D,FULTON,GA,END,ZN 3,ZN 3,510,Y,A,20251009,,Y,UPS FUEL SERVICES  INC.,188544808,10095,N,,,,,,20251014 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50074,SO CO/SNG PLANT MCDONOUGH COBB,D,COBB,GA,EGN,ZN 3,ZN 3,510,Y,A,20200214,,Y,SOUTHERN COMPANY SERVICES  INC.,75463174,1715,N,,,,,,20211217 09:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50152,CALERA/SNG AREA SHELBY,D,SHELBY,AL,LDC,ZN 2,ZN 2,120,Y,A,20180201,,Y,CALERA  CITY OF,872809272,7186,N,,,,,,20180227 12:00
6900518,SOUTHERN NATURAL GAS CO.,C000021,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,50585,ERGN REF/SNG ERGON REFINING RECEIPT,R,WARREN,MS,INT,ZN 1,ZN 1,40,N,I,,20180901,Y,ERGON REFINING INC.,94191764,7217,N,,,,,,20250819 15:00
