TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,55831,MONTOUR/STAGEPS TALEN DELIVERY LYCO,D,LYCOMING,PA,EGN,M1,M1,100,Y,A,20240419,,Y,MONTOUR  LLC,66552626,11023,N,,,,,,20240422 15:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201010,MILL PL/STAGEPS OWEGO TIOGA,B,TIOGA,NY,INT,NSL,NSL,300,Y,A,20100101,,Y,MILLENNIUM PIPELINE COMPANY  L.L.C.,607821050,6439,Y,C000311,640168,STAGECOACH RECEIPT,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201020,SC STORAGE,B,TIOGA,NY,VIR,NSL,NSL,300,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201045,HEP PA/STAGEPS B,R,BRADFORD,PA,GTH,NSL,NSL,200,Y,A,20100101,,Y,HEP PENNSYLVANIA GATHERING  LLC,877537097,10904,N,,,,,,20241216 15:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201060,MARCELLUS HUB,B,BRADFORD,PA,PPT,NSL,NSL,200,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201080,APPLACHA/STAGEPS SC JCT BRADFORD,R,BRADFORD,PA,GTH,SM,SM,150,Y,A,20220406,,Y,APPALACHIA MIDSTREAM SERVICES  LLC,963339499,6338,N,,,,,,20220407 12:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201090,MI-CNYOG,B,BRADFORD,PA,VIR,SM,SM,150,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201095,LSTOCKNG/STAGEPS WYALUSING PT BRADF,D,BRADFORD,PA,LDC,M1,M1,100,Y,A,20220701,,Y,LEATHERSTOCKING GAS COMPANY  LLC,79782474,9456,N,,,,,,20220812 15:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201100,APPLACHA/STAGEPS WILMOT BRADFORD,R,BRADFORD,PA,GTH,M1,M1,100,Y,A,20100101,,Y,APPALACHIA MIDSTREAM SERVICES  LLC,963339499,6338,N,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201110,APPLACHA/STAGEPS CHERRY RD SULLIVAN,R,SULLIVAN,PA,GTH,M1,M1,100,Y,A,20100101,,Y,APPALACHIA MIDSTREAM SERVICES  LLC,963339499,6338,N,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201120,MARC I HUB,B,SULLIVAN,PA,PPT,M1,M1,100,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201125,UGISUN/STAGEPS SUNBURY LYCOMING,D,LYCOMING,PA,GTH,M1,M1,100,Y,A,20220406,,Y,UGI SUNBURY  LLC.,80241225,10999,N,,,,,,20220407 12:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,201130,TRNSCO/STAGEPS L,B,LYCOMING,PA,INT,M1,M1,100,Y,A,20100101,,Y,TRANSCONTINENTAL GAS PIPELINE COMPANY  LLC,7933021,4153,Y,C000654,9007162,,,,20241216 15:00
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,299999,TITLE TRANSFER,B,TIOGA,NY,VIR,NSL,NSL,300,Y,A,20100101,,N,,,,,,,,,,20220323 14:19
32573971,STAGECOACH PIPELINE & STORAGE,C001683,20260331 09:40,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,421046,STAGEPS/TGP STA 319 OWEGO BRADFORD,B,BRADFORD,PA,INT,SM,SM,150,Y,A,20100101,,Y,STAGECOACH PIPELINE & STORAGE COMPANY LLC,32573971,6678,Y,C001683,421046,STA 319 OWEGO,,,20220323 14:19
