TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,11446,RMNG/TRANSCOL OLATHE MONTROSE MONTR,D,MONTROSE,CO,INT,TRANSCOL,TRANSCOL,230,Y,A,19990901,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,36133,RMNG/TRANSCOL OLATHE MONTROSE - RECEIPT,,,20200827 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36100,MW P/L/TRANSCOL GREASEWOOD RIO BLAN,R,RIO BLANCO,CO,INT,TRANSCOL,TRANSCOL,180,Y,A,20240901,,Y,MOUNTAINWEST PIPELINE  LLC,92027077,4602,Y,C001088,297,QPC GREASEWOOD DEL,,,20240917 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36101,BARGATH/TRANSCOL GREASEWOOD RIO BLA,R,RIO BLANCO,CO,PLT,TRANSCOL,TRANSCOL,180,N,I,,20250910,Y,BARGATH  LLC,22889147,5321,N,,,,,,20250910 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36103,RED CEDA/TRANSCOL COYOTE GULCH LA P,R,LA PLATA,CO,PLT,TRANSCOL,TRANSCOL,300,N,A,20071016,,Y,RED CEDAR GATHERING COMPANY,872966460,3312,N,,,,,,20200827 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36105,EPNG/TRANSCOL EL PASO BLANCO SAN JU,B,SAN JUAN,NM,INT,TRANSCOL,TRANSCOL,310,Y,A,20250402,,Y,EL PASO NATURAL GAS COMPANY  L.L.C.,8001703,1279,Y,C000967,301881,TRANSCOL/EPNG (ITCOLBLA) TRANSCOLOR,,,20250403 09:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,36106,TRNSWEST/TRANSCOL TRANSWESTERN BLAN,B,SAN JUAN,NM,INT,TRANSCOL,TRANSCOL,310,Y,A,20240901,,Y,TRANSWESTERN PIPELINE COMPANY  LLC,7933047,4157,Y,C000076,500632,TWPL/TRANSCOLORADO BLANCO,,,20240917 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,37586,BLKHILLS/TRANSCOL SADDLE MNT RANCH,D,MESA,CO,LDC,TRANSCOL,TRANSCOL,210,Y,A,20240901,,Y,BLACK HILLS COLORADO GAS  INC. D/B/A BLACK HILLS ENERGY,829482046,10806,N,,37586,BHGD/RMNG SADDLE MTN RANCH,,,20250829 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,39626,RMNG/TRANSCOL NATURITA CREEK MONTRO,R,MONTROSE,CO,GTH,TRANSCOL,TRANSCOL,240,N,I,,20160101,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,39627,TRANSCOL/RMNG NATURITA CREEK MONTROSE,,,20200827 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,39798,PSCC/TRANSCOL WHITEWATER INTERCONNE,D,MESA,CO,INT,TRANSCOL,TRANSCOL,210,Y,A,20241011,,Y,PUBLIC SERVICE COMPANY OF COLORADO,6915953,26349,Y,C000821,WIT,WHITE WATER TRANSCOLORADO,,,20241011 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,40237,EXXON/TRANSCOL GREASEWOOD RIO BLANC,R,RIO BLANCO,CO,GTH,TRANSCOL,TRANSCOL,180,N,I,,20250910,Y,EXXONMOBIL CORPORATION,1213214,3870,N,,,,,,20250910 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,40379,SO TRLS/TRANSCOL HARE CANYON SAN JU,D,SAN JUAN,NM,INT,TRANSCOL,TRANSCOL,310,N,I,,20241001,Y,SOUTHERN TRAILS PIPELINE CO.,101589435,3744,N,,,,,,20241218 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,40412,BARGATH/TRANSCOL RACCOON HOLLOW MES,R,MESA,CO,PLT,TRANSCOL,TRANSCOL,210,N,I,,20230403,Y,BARGATH  LLC,22889147,5321,N,,,,,,20230428 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,41036,FRAM/TRANSCOL SINK CREEK MESA,R,MESA,CO,GTH,TRANSCOL,TRANSCOL,210,N,I,,20220526,Y,FRAM OPERATING LLC,831716704,5068,N,,,,,,20220614 09:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,41545,OXY USA /TRANSCOL CONN CREEK,R,GARFIELD,CO,GTH,TRANSCOL,TRANSCOL,190,N,I,,20240123,Y,OXY USA INC.,115102402,12340,N,,,,,,20240123 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,41781,CIG/TRANSCOL DARK CANYON RIO BLANCO,B,RIO BLANCO,CO,INT,TRANSCOL,TRANSCOL,180,Y,A,20240901,,Y,COLORADO INTERSTATE GAS COMPANY  L.L.C.,6914865,15038,Y,C000981,800196,CIG/TRANSCOL (DCM) DARK CANYON,,,20240917 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,41897,PARADOX/TRANSCOL QUINN DRAW SAN MIG,R,SAN MIGUEL,CO,GTH,TRANSCOL,TRANSCOL,240,N,I,,20151020,Y,CCI PARADOX UPSTREAM LLC,78723448,8486,N,,,,,,20200827 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42051,RMNG/TRANSCOL ROAN CLIFFS DEBEQUE G,R,GARFIELD,CO,INT,TRANSCOL,TRANSCOL,190,N,I,,20240901,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,42051,TRANSCOL ROAN CLIFFS - DELIVERY,,,20240917 12:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42128,RMNG/TRANSCOL WHITEWATER TBS MESA,D,MESA,CO,INT,TRANSCOL,TRANSCOL,210,Y,A,20230905,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,39900,WHITE ROCK RECEIPT PT,,,20230906 09:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42129,RMNG/TRANSCOL KANNAH CREEK TBS MESA,D,MESA,CO,INT,TRANSCOL,TRANSCOL,220,Y,A,20130101,,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,42129,TRANSCOL/RMNG KANNAH CRK,,,20200827 15:00
938939154,TRANSCOLORADO GAS TRANS CO LLC,C000596,20260331 09:39,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,42162,RMNG/TRANSCOL ROAN CLIFFS TO RMNG G,D,GARFIELD,CO,INT,TRANSCOL,TRANSCOL,190,N,I,,20240901,Y,ROCKY MOUNTAIN NATURAL GAS LLC,601986763,61,Y,C001651,42162,RMNG/TRANSCOL ROAN CLIFFS TO RMNG - RECEIPT,,,20240917 12:00
