TSP,TSP Name,TSP FERC CID,Date/Time,Comments,Loc,Loc Name,Dir Flo,Loc Cnty,Loc St Abbrev,Loc Type Ind,Loc Zone (Rec),Loc Zone (Del),Seg Nbr,Nom Ind,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,Up/Dn Loc 2,Up/Dn Loc Name2,Update D/T
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44423,REX/TGP BIG MUSKIE GUERNSEY,R,GUERNSEY,OH,INT,Z4,Z4,204,Y,A,20151101,,Y,ROCKIES EXPRESS PIPELINE LLC,784256161,955,Y,C000594,44423,TGP/REX  GUERNSEY,,,20160401 10:05
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44449,SNG/MEP  SMITH,R,SMITH,MS,INT,Z1,Z1,5410,Y,A,20090919,,Y,SOUTHERN NATURAL GAS COMPANY  L.L.C.,6900518,3705,Y,C000021,44449,SNG/MEP SMITH,,,20250205 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44521,TGP/KMTP CLEVELAND SAN JACINTO,B,SAN JACINTO,TX,INT,Z0,Z0,125,Y,A,20191002,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,44521,TGP/KMTP CLEVELAND SAN JACINTO,,,20201217 12:28
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,44577,TGP/MEP JASPER,R,JASPER,MS,INT,Z1,Z1,534,Y,A,20200210,,Y,TENNESSEE GAS PIPELINE COMPANY  L.L.C.,1939164,4052,Y,C000020,44577,TGP/MEP  JASPER,,,20241216 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47591,NG ADVAN/TGP TOWN OF PEMBROKE MERRI,D,MERRIMACK,NH,LDC,Z6,Z6,284,Y,A,20160406,,Y,NG ADVANTAGE LLC,78658919,9708,N,,,,,,20250428 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47592,HAMVIL/TGP VILLAGE OF HAMILTON NY M,D,MADISON,NY,LDC,Z5,Z5,241,Y,A,20170406,,Y,VILLAGE OF HAMILTON,25750761,9185,N,,,,,,20170406 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47605,GEOPETRO/TGP FIRESTONE HOMESTEAD CO,R,COLUMBIANA,OH,GTH,Z4,Z4,216,Y,A,20210406,,Y,GEOPETRO LLC,607297058,10565,N,,,,,,20240401 12:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47652,UTICA EO/TGP LEESVILLE PROC PLNT CA,R,CARROLL,OH,PLT,Z4,Z4,212,Y,A,20251009,,Y,UTICA EAST OHIO MIDSTREAM LLC,78435517,8492,N,,,,,,20251015 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47743,NFGMIDCL/TGP CLERMONT #2 MC KEAN,R,MC KEAN,PA,GTH,Z4,Z4,307,Y,A,20161012,,Y,NFG MIDSTREAM CLERMONT  LLC,79280898,9206,N,,,,,,20161012 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47768,WFS/TGP UDP GIBSON SUSQUEHANNA,R,SUSQUEHANNA,PA,GTH,Z4,Z4,321,Y,A,20161012,,Y,WILLIAMS FIELD SERVICES COMPANY  LLC,879847010,1086,N,,,,,,20161012 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47799,NMP/TGP GILLRINA ROAD NUECES,B,NUECES,TX,INT,Z0,Z0,101,Y,A,20141201,,Y,NET MEXICO PIPELINE PARTNERS  LLC,78533458,8630,Y,C004698,201100,TENNESSEE - NUECES,,,20240430 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47859,BOSTN/TGP 261 CDP - BOSTON,D,HAMPDEN,MA,LDC,Z6,Z6,261,Y,A,20141101,,Y,BOSTON GAS COMPANY D/B/A NATIONAL GRID,6951586,26177,Y,C001659,,47859 CDP 261,,,20231114 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47860,BOSTN/TGP 267 CDP - BOSTON GAS,D,MIDDLESEX,MA,LDC,Z6,Z6,266,Y,A,20141101,,Y,BOSTON GAS COMPANY D/B/A NATIONAL GRID,6951586,26177,Y,C001659,,47860 CDP 267,,,20231114 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47861,BOSTN/TGP 268 CDP - BOSTON GAS,D,MIDDLESEX,MA,LDC,Z6,Z6,268,Y,A,20141101,,Y,BOSTON GAS COMPANY D/B/A NATIONAL GRID,6951586,26177,Y,C001659,,47861 CDP 268,,,20231114 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47872,ATMOS TL/TGP CHAUVIN OUACHITA,D,OUACHITA,LA,LDC,Z1,Z1,143,Y,A,20241011,,Y,ATMOS  ENERGY  CORPORATION,613205723,6624,N,,,,,,20241011 12:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,47882,UGIAPP/TGP BRINKER NO.2 COLUMBIANA,R,COLUMBIANA,OH,WHD,Z4,Z4,214,Y,A,20231017,,Y,UGI APPALACHIA  LLC,117246237,8615,N,,,,,,20231017 09:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48033,BBTBAMA/TGP FAYETTE VERNON LAMAR,D,LAMAR,AL,INT,Z1,Z1,548,Y,A,20230418,,Y,BBT ALABAMA  LLC,118941696,10709,N,,,,,,20230418 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48061,NRGBM/TGP BEIRNE HILL SALES BRADFOR,D,BRADFORD,PA,EGN,Z4,Z4,318,Y,A,20150601,,Y,NRG BUSINESS MARKETING LLC,78790103,8588,N,,,,,,20230919 12:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48150,66TH/TGP HANSCOM AIR FORCE BASE MID,D,MIDDLESEX,MA,END,Z6,Z6,268,Y,A,20200831,,Y,66TH AIR BASE GROUP  HANSCOM AIR FORCE BASE,63558463,9313,N,,,,,,20200831 15:00
1939164,TENNESSEE GAS PIPELINE,C000020,20260331 09:38,Blanks under Up/Dn Loc and Up/Dn Loc Name indicate Third Party information is not applicable.,48648,TGP/TGP HANDSOME LAKE LATERAL,B,VENANGO,PA,INT,Z4,Z4,300,Y,A,20161101,,N,,,,,,,,,,20161201 09:00
