TSP,TSP Name,TSP FERC CID,Loc,Loc Name,Loc Loctr ID,Loc Loctr,Loc Cnty,Loc St Abbrev,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc Name,Up/Dn Loc,Update D/T
784158214,Northern Natural Gas Company,C000060,79690,276TH STREET TAP,SRV,23 - 99 N - 50 W,LINCOLN,SD,MID 17,LDC,D,A,20250729,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20250814 05:00
784158214,Northern Natural Gas Company,C000060,78473,"AACRON, INC.   (S)                      ",SRV,36 - 114 N - 21 W,DAKOTA,MN,MID 17,END,D,A,20050118,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78562,"AACRON, INC.  (W)                       ",SRV,26 - 31 N - 24 W,ANOKA,MN,MID 17,END,D,A,20050503,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78579,ABBOTT NORTHWESTERN HOSPITAL   (W)      ,SRV,35 - 27 N - 24 W,DAKOTA,MN,MID 17,END,D,A,20050505,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78474,ABBOTT NORTHWESTERN HOSPITAL (S)        ,SRV,36 - 114 N - 21 W,DAKOTA,MN,MID 17,END,D,A,20050118,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,4083,ABERDEEN SD #1,SRV,29 - 123 N - 63 W,BROWN,SD,MID 17,LDC,D,A,19871001,,Y,NORTHWESTERN ENERGY PUBLIC SERVICE CORPORATION,129287403,N,,,,20240627 05:00
784158214,Northern Natural Gas Company,C000060,3747,ACKLEY IA #1,SRV,3 - 89 N - 19 W,HARDIN,IA,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3748,ADAIR IA #1,SRV,33 - 78 N - 33 W,GUTHRIE,IA,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,1395,ADAMS NE #1,SRV,27 - 6 N - 8 E,GAGE,NE,MID 17,LDC,D,A,19871001,,Y,"BLACK HILLS SERVICE COMPANY, LLC",79534838,N,,,,20190401 05:00
784158214,Northern Natural Gas Company,C000060,3425,ADAMS-LEROY MN,SRV,2 - 101 N - 16 W,MOWER,MN,MID 17,LDC,D,A,19871001,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3229,ADEL IA #1,SRV,25 - 79 N - 28 W,DALLAS,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,62393,ADEL IA #1A (SIOUX CITY BRICK & TILE),SRV,25 - 79 N - 28 W,DALLAS,IA,MID 17,LDC,D,A,19950807,,Y,SIOUX CITY BRICK & TILE CO.,7273915,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3230,ADEL IA #2,SRV,8 - 79 N - 27 W,DALLAS,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,61202,ADVANCE FOOD PRODUCTS                   ,SRV,18 - 32 N - 15 W,POLK,WI,MID 17,END,D,A,19940601,,Y,WISCONSIN GAS LLC,7947047,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,78939,AEP LOST RIVER CLARK CO.,SRV,17 - 31 S - 21 W,CLARK,KS,MID 13,GTH,R,A,20070916,,Y,"AMERICAN ENERGIES PIPELINE, LLC",6224836,N,,,,20160326 05:00
784158214,Northern Natural Gas Company,C000060,79697,AG PARTNERS LLC-ALBERT CITY,SRV,14 - 92 N - 35 W,BUENA VISTA,IA,MID 17,END,D,A,20250901,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20250902 05:00
784158214,Northern Natural Gas Company,C000060,79698,AG PARTNERS LLC-ALTA,SRV,34 - 91 N - 38 W,BUENA VISTA,IA,MID 17,END,D,A,20250818,,Y,INTERSTATE POWER AND LIGHT COMPANY,6940522,N,,,,20250902 05:00
784158214,Northern Natural Gas Company,C000060,60616,AG PROCESSING INC,SRV,17 - 82 N - 36 W,CARROLL,IA,MID 17,END,D,A,19931101,,Y,MANNING MUNICIPAL GAS DEPT,847612140,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,60712,AG PROCESSING-GREAT PLAINS NAT,SRV,21 - 117 N - 43 W,LAC QUI PARLE,MN,MID 17,END,D,A,19931101,,Y,GREAT PLAINS NATURAL GAS CO.,557482085,N,,,,20201201 05:00
784158214,Northern Natural Gas Company,C000060,79650,"AGP DAVID CITY, NE TBS",SRV,13 - 15 N - 2 E,BUTLER,NE,MID 17,END,D,A,20240319,,Y,AG PROCESSING INC A COOPERATIVE,5275631,N,,,,20241210 05:00
784158214,Northern Natural Gas Company,C000060,71478,AGP SHELDON SOYBEAN PLANT               ,SRV,32 - 97 N - 42 W,O BRIEN,IA,MID 17,END,D,A,19990317,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,62856,AGP TBS #1                              ,SRV,24 - 96 N - 20 W,CERRO GORDO,IA,MID 17,LDC,D,A,19960314,,Y,AG PROCESSING INC A COOPERATIVE,5275631,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,71211,AGP-SHELDON #2 BYPASS,SRV,32 - 97 N - 42 W,O BRIEN,IA,MID 17,LDC,D,A,19981101,,Y,AG PROCESSING INC A COOPERATIVE,5275631,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,79106,AGRA RESOURCES (POET)-GLENVILLE MN,SRV,1 - 101 N - 22 W,FREEBORN,MN,MID 17,END,D,A,20120720,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,79116,AGRELIANT GENETICS,SRV,2 - 83 N - 28 W,BOONE,IA,MID 17,END,D,A,20121026,,Y,"AGRELIANT GENETICS, LLC",79759323,N,,,,20160201 08:52
784158214,Northern Natural Gas Company,C000060,78978,AGRI-ENERGY PLANT,SRV,15 - 102 N - 45 W,ROCK,MN,MID 17,END,D,A,20080528,,Y,"CENTERPOINT ENERGY RESOURCES CORP., D/B/A CENTERPOINT ENERGY MINNESOTA GAS",612012989,N,,,,20171115 05:00
784158214,Northern Natural Gas Company,C000060,78891,AGRI-WASTE ENERGY,SRV,36 - 29 N - 17 W,ST CROIX,WI,MID 17,END,R,I,,20250402,Y,"AGRI-WASTE ENERGY, INC.",198355849,N,,,,20250403 05:00
784158214,Northern Natural Gas Company,C000060,79398,AGUA BLANCA PECOS CO,SRV,1 - 1 - CK,PECOS,TX,MID 3,INT,B,A,20180806,,Y,"AGUA BLANCA, LLC",80317342,Y,C009030,NORTHERN NATURAL METER STATION,79398,20221122 05:00
784158214,Northern Natural Gas Company,C000060,59007,AITKINSON #1(JIM BARBO),SRV,35 - 48 N - 18 W,CARLTON,MN,MID 17,LDC,D,A,19930101,,Y,MINNESOTA ENERGY RESOURCES CORPORATION,780062605,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,3664,AKRON IA #1,SRV,36 - 93 N - 49 W,PLYMOUTH,IA,MID 17,LDC,D,A,19871001,,Y,MIDAMERICAN ENERGY COMPANY,884718768,N,,,,20151216 04:01
784158214,Northern Natural Gas Company,C000060,62497,AL-CORN TBS #1,SRV,20 - 107 N - 18 W,DODGE,MN,MID 17,LDC,D,A,19951024,,Y,"AL-CORN CLEAN FUEL, LLC",883092215,N,,,,20190424 05:00
