TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
006958581,,ANR Pipeline Company,C000623,100052  ,WINCHESTER (WEP SALES)  ,19000101,,A,LDC,B,ML-7,WINNEBAGO,WI,Y,N,Wisconsin Electric Power Company,007947385,,,,,WI 7  H,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,10111   ,OPELOUSAS               ,19000101,,A,INT,B,SE-1,ST LANDRY,LA,Y,Y,Acadian Gas Pipeline System,109006858,,C000932,,,SE 2  B,Zone 1,,T,,N,,20251023 06:50
006958581,,ANR Pipeline Company,C000623,103565  ,S E HEADSTATION         ,19000101,,A,PPT,B,SE-1,Non-Geographic,MU,N,N,,,,,,,SE 2  A,Zone 1,,T,,N,,20250918 12:58
006958581,,ANR Pipeline Company,C000623,10369   ,SHADYSIDE/SONAT (DEL)   ,19000101,,A,INT,D,SE-1,ST MARY,LA,Y,Y,Southern Natural Gas Company,006900518,,C000021,,,SE 2  B,Zone 1,,T,,N,,20260309 10:20
006958581,,ANR Pipeline Company,C000623,103702  ,S W HEADSTATION         ,19000101,,A,PPT,B,SW-4,Non-Geographic,MU,N,N,,,,,,,SW 4  A,Zone 4,,T,,N,,20250918 12:59
006958581,,ANR Pipeline Company,C000623,103709  ,ORION (MOLINE)          ,19000101,,A,LDC,B,ML-6,HENRY,IL,Y,N,MidAmerican Energy Company,884718768,,,,,MW 6  K,Zone 6,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,104776  ,MAUMEE SOUTH/EAST OHIO  ,19000101,,A,LDC,B,ML-7,LUCAS,OH,Y,Y,The East Ohio Gas Company,007900475,,C001002,,,MI 7  B,Zone 7,,T,,N,Northern,20251023 07:38
006958581,,ANR Pipeline Company,C000623,1055519 ,DUNN INTERCONNECT       ,19000101,,A,INT,D,ML-2,RICHLAND,LA,Y,N,"CENTERPOINT ENERGY INTRASTATE PIPELINES, L",799376074,,,,,ME 2  C,Zone 2,,T,,N,,20251023 12:12
006958581,,ANR Pipeline Company,C000623,108641  ,MAUMEE NORTH/EAST OHIO  ,19000101,,A,LDC,B,ML-7,LUCAS,OH,Y,Y,The East Ohio Gas Company,007900475,,C001002,,,MI 7  B,Zone 7,,T,,N,Northern,20251023 07:38
006958581,,ANR Pipeline Company,C000623,108796  ,LEBANON/RED LION        ,19000101,,A,LDC,B,ML-3,WARREN,OH,Y,N,"Vectren Energy Delivery of Ohio, Inc.",004866344,,,,,ME 3  B,Zone 3,,T,,N,Lebanon,20251023 07:39
006958581,,ANR Pipeline Company,C000623,110850  ,MONCLOVA                ,19000101,,A,INT,B,ML-7,LUCAS,OH,Y,Y,"Columbia Gas Transmission, LLC",054748041,,C000306,F4,MONCLOVA-1,MI 7  B,Zone 7,,T,,N,Northern,20251023 07:39
006958581,,ANR Pipeline Company,C000623,112028  ,FORT RECOVERY           ,19000101,,A,LDC,B,ML-3,MERCER,OH,Y,Y,The East Ohio Gas Company,007900475,,C001002,,,ME 3  D,Zone 3,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,112029  ,ST HENRY -EAST OHIO GAS ,19000101,,A,LDC,B,ML-3,MERCER,OH,Y,Y,The East Ohio Gas Company,007900475,,C001002,,,ME 3  D,Zone 3,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11562   ,OTSEGO                  ,19000101,,A,LDC,B,ML-7,ALLEGAN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11563   ,FENNVILLE               ,19000101,,A,LDC,B,ML-7,ALLEGAN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11566   ,OVERISEL INT NO 1       ,19000101,,A,LDC,B,ML-7,ALLEGAN,MI,Y,N,Consumers Energy Company,006959803,,,,,MI 7  L,Zone 7,,T,,N,Northern,20260331 09:18
006958581,,ANR Pipeline Company,C000623,11567   ,WAYLAND MI              ,19000101,,A,LDC,D,ML-7,ALLEGAN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  M,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11570   ,CHESTER INT (DELIVERY)  ,19000101,,A,STR,B,ML-7,OTSEGO,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,ML 0  A,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11572   ,NEW BUFFALO             ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  G,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11574   ,THREE OAKS              ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  G,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11576   ,BERRIEN SPRINGS         ,19000101,,A,LDC,D,ML-7,BERRIEN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11577   ,ST JOSEPH               ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11578   ,BENTON HARBOR           ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11579   ,COLOMA                  ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  L,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11580   ,NILES                   ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  H,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11581   ,BUCHANAN                ,19000101,,A,LDC,B,ML-7,BERRIEN,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  H,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11589   ,EDWARDSBURG             ,19000101,,A,LDC,B,ML-7,CASS,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  H,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11590   ,BARRON LAKE             ,19000101,,A,LDC,B,ML-7,CASS,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  H,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11616   ,FARWELL (DELIVERY)      ,19000101,,A,INT,D,ML-7,CLARE,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,MI 7  E,Zone 7,,T,,N,Northern,20251023 06:52
006958581,,ANR Pipeline Company,C000623,11661   ,CRYSTAL FALLS-FORTUNE LK,19000101,,A,INT,R,ML-7,IRON,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,WI 7  O,Zone 7,,T,,N,Northern,20260128 19:12
006958581,,ANR Pipeline Company,C000623,11674   ,SOUTH GRAND RAPIDS      ,19000101,,A,LDC,B,ML-7,KENT,MI,Y,Y,DTE Gas Company,006958540,,C000428,,,MI 7  P,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11680   ,MORENCI                 ,19000101,,A,LDC,B,ML-7,LENAWEE,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  A,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11702   ,MENOMINEE               ,19000101,,A,LDC,B,ML-7,MENOMINEE,MI,Y,Y,DTE Gas Company,006958540,,C000428,,,WI 7  N,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11703   ,MENOMINEE NO 2          ,19000101,,A,LDC,B,ML-7,MENOMINEE,MI,Y,N,Wisconsin Public Service Corporation,007947435,,,,,WI 7  N,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11747   ,GEORGETOWN              ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,Y,DTE Gas Company,006958540,,C000428,,,MI 7  P,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11748   ,NORTH HOLLAND           ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,"Semco Energy, Inc., DBA Semco Energy Gas Company",006960553,,,,,MI 7  O,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11749   ,SOUTH GRAND HAVEN       ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  O,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11750   ,COOPERSVILLE            ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  Q,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,11751   ,GRAND HAVEN             ,19000101,,A,LDC,B,ML-7,OTTAWA,MI,Y,N,Michigan Gas Utilities Corporation,622377096,,,,,MI 7  Q,Zone 7,,T,,N,Northern,20250929 22:29
