TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
054748041,,"Columbia Gas Transmission, LLC",C000306,100     ,NEW JERSEY NATURAL  ,19000101,,A,LDC,D,TCO,MORRIS,NJ,Y,N,New Jersey Natural Gas Company,061843553,,,,,HELLHANO,MA22,04,T,,N,,20160722 22:11
054748041,,"Columbia Gas Transmission, LLC",C000306,100CARL ,CITY OF CARLISLE    ,19000101,,A,LDC,D,TCO,NICHOLAS,KY,Y,N,City of Carlisle (TCO),089703920,,,,,ESMNMOV,MA10,06,T,,N,,20230118 16:09
054748041,,"Columbia Gas Transmission, LLC",C000306,107     ,DELMARVA POWER LIGHT,19000101,,A,LDC,D,TCO,VARIOUS,DE,Y,N,Delmarva Power & Light Company,006918882,,,,,SJLATERA,MA24,04,T,,N,,20260303 13:30
054748041,,"Columbia Gas Transmission, LLC",C000306,109     ,SOUTH JERSEY GAS CO ,19000101,,A,LDC,D,TCO,VARIOUS,NJ,Y,N,South Jersey Gas Company,051409605,,,,,SJLATERA,MA24,04,T,,N,,20240122 09:29
054748041,,"Columbia Gas Transmission, LLC",C000306,11      ,CENTRAL HUDSON      ,19000101,,A,LDC,D,TCO,VARIOUS,NY,Y,N,Central Hudson Gas & Electric Corporation,006993695,,,,,WARWBUEV,MA21,04,T,,N,,20230118 13:06
054748041,,"Columbia Gas Transmission, LLC",C000306,118-4   ,NORTHEAST OHIO-4    ,19000101,,A,LDC,D,TCO,VARIOUS,OH,Y,N,Northeast Ohio Natural Gas Corp.,147206353,,,,,VHOLMES,MA4,07,T,,N,,20160722 22:11
054748041,,"Columbia Gas Transmission, LLC",C000306,118-5   ,NORTHEAST OHIO-5    ,19000101,,A,LDC,D,TCO,VARIOUS,OH,Y,N,Northeast Ohio Natural Gas Corp.,147206353,,,,,B100HOOK,MA5,07,T,,N,,20250718 08:14
054748041,,"Columbia Gas Transmission, LLC",C000306,118-8   ,NORTHEAST OHIO-8,20191010,,A,LDC,D,TCO,VARIOUS,OH,Y,N,Northeast Ohio Natural Gas Corp.,147206353,,,,,KGUT,MA8,07,T,,N,,20250718 08:12
054748041,,"Columbia Gas Transmission, LLC",C000306,118-9   ,NORTHEAST OHIO-9    ,19000101,,A,LDC,D,TCO,VARIOUS,OH,Y,N,Northeast Ohio Natural Gas Corp.,147206353,,,,,ECRAW,MA9,07,T,,N,,20191017 09:58
054748041,,"Columbia Gas Transmission, LLC",C000306,12      ,CHARLOTTESVILLE CITY,19000101,,A,LDC,D,TCO,VARIOUS,VA,Y,N,"City of Charlottesville, Virginia",074745829,,,,,GALABICK,MA31,10,T,,N,,20230118 13:07
