TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
808593164,,Crossroads Pipeline Company LLC,C000309,734462  ,Cygnet,19000101,,A,INT,D,XRD,WOOD,OH,Y,Y,"Columbia Gas Transmission, LLC",054748041,,C000306,734462,Crossroads-Cygnet                     ,DEFNCYGN,CROSSRD2,,T,,Y,,20230124 14:55
808593164,,Crossroads Pipeline Company LLC,C000309,736902  ,Schererville - NGPL,19000101,,A,INT,R,XRD,LAKE,IN,Y,Y,Natural Gas Pipeline Company of America LLC,006931794,,C002096,10751,CROSSROAD/NGPL LAKE,SCHRLAPZ,CROSSRD2,,T,,Y,,20230124 14:56
808593164,,Crossroads Pipeline Company LLC,C000309,736903  ,Griffith,,20160401,I,LDC,D,XRD,LAKE,IN,Y,N,Northern Indiana Public Service Company LLC,006937585,,,,,SCHRLAPZ,CROSSRD2,,T,,Y,,20250529 14:07
808593164,,Crossroads Pipeline Company LLC,C000309,736904  ,LaPaz,19000101,,A,INT,R,XRD,MARSHALL,IN,Y,Y,"Trunkline Gas Company, LLC",007933062,,C000251,82035,CROSSROADS - NIPSCO,SCHRLAPZ,CROSSRD2,,T,,Y,,20230124 14:56
808593164,,Crossroads Pipeline Company LLC,C000309,736908  ,NIPSCO Butler Agg,19000101,,A,LDC,D,XRD,DE KALB,IN,Y,N,Northern Indiana Public Service Company LLC,006937585,,,,,LAPZDEFN,CROSSRD2,,T,,Y,,20160722 22:11
808593164,,Crossroads Pipeline Company LLC,C000309,736909  ,Sherwood,19000101,,A,LDC,D,XRD,DEFIANCE,OH,Y,N,Ohio Gas Company,003779345,,,,,LAPZDEFN,CROSSRD2,,T,,Y,,20160722 22:11
808593164,,Crossroads Pipeline Company LLC,C000309,736912  ,Defiance,19000101,,A,INT,R,XRD,DEFIANCE,OH,Y,Y,"Panhandle Eastern Pipe Line Company, LP",045256641,,C000250,CRSRD,NIPSCO DEFIANCE - CROSSROADS,LAPZDEFN,CROSSRD2,,T,,Y,,20260123 12:04
808593164,,Crossroads Pipeline Company LLC,C000309,736913  ,North Coast,19000101,,A,INT,D,XRD,WOOD,OH,Y,N,"North Coast Gas Transmission, LLC",147046754,,,,,DEFNCYGN,CROSSRD2,,T,,Y,,20230124 14:58
808593164,,Crossroads Pipeline Company LLC,C000309,740078  ,KNG-Deshler,19000101,,A,LDC,D,XRD,WOOD,OH,Y,N,"KNG Energy, Inc.",781667076,,,,,DEFNCYGN,CROSSRD2,,T,,N,,20230124 14:58
808593164,,Crossroads Pipeline Company LLC,C000309,742876  ,"Schererville STRT, STP AND BLOWDOWNS",,20160510,I,COM,R,XRD,LAKE,IN,N,N,,,,,,,SCHRLAPZ,CROSSRD2,,T,,Y,,20160510 10:17
808593164,,Crossroads Pipeline Company LLC,C000309,ADM     ,Admin Point for RP,19000101,,A,VIR,B,XRD,LAKE,IN,N,N,,,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20160509 14:11
808593164,,Crossroads Pipeline Company LLC,C000309,APRK    ,RP AutoPark Point XRD,19000101,,A,VIR,B,XRD,LAKE,IN,N,N,,,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20160509 14:11
808593164,,Crossroads Pipeline Company LLC,C000309,INV     ,Inventory Admin Point,19000101,,A,VIR,B,XRD,LAKE,IN,N,N,,,,,,,DEFNCYGN,CROSSRD2,,T,,N,,20160509 14:11
808593164,,Crossroads Pipeline Company LLC,C000309,OBA     ,OPERATIONAL BALANCING,19000101,,A,VIR,B,XRD,LAKE,IN,N,N,,,,,,,CROSSRD,CROSSRD2,,T,,N,,20160509 14:12
808593164,,Crossroads Pipeline Company LLC,C000309,P0929214,Exelon Generation Company,,20210105,I,PPT,B,XRD,Non-Geographic,MU,Y,N,"Constellation Energy Generation, LLC",196748938,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20210105 12:39
808593164,,Crossroads Pipeline Company LLC,C000309,P0929788,Exelon Energy Company,,20210105,I,PPT,B,XRD,Non-Geographic,MU,Y,N,Exelon Energy Company,061416504,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20210105 12:39
808593164,,Crossroads Pipeline Company LLC,C000309,P096949 ,Radiate Energy LLC ,20211005,,A,PPT,B,XRD,Non-Geographic,MU,Y,N,Radiate Energy LLC,118254781,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20211005 08:23
808593164,,Crossroads Pipeline Company LLC,C000309,P0973618,Pooling,19000101,,A,PPT,B,XRD,Non-Geographic,MU,Y,N,"Occidental Energy Marketing, Inc.",052298721,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20080724 14:16
808593164,,Crossroads Pipeline Company LLC,C000309,P097778 ,Pooling,19000101,,A,PPT,B,XRD,Non-Geographic,MU,Y,N,Macquarie Energy LLC,798846036,,,,,SCHRLAPZ,CROSSRD2,,T,,N,,20090402 12:22
