TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600299  ,NYS UNION CENTER                ,19000101,,A,LDC,D,MPL,BROOME,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600299,UNION CENTER,OWEGSPAR,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600300  ,WESTOVER                        ,19000101,,A,LDC,D,MPL,BROOME,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600300,WESTOVER,HANCOCK,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600301  ,PORT DICK                       ,19000101,,A,LDC,D,MPL,BROOME,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600301,PORT DICKINSON,HANCOCK,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600302  ,NYS-Kirkwood                    ,19000101,,A,LDC,D,MPL,BROOME,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600302,KIRKWOOD,HANCOCK,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600303  ,ENDICOTT                        ,19000101,,A,LDC,D,MPL,BROOME,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600303,ENDICOTT,OWEGSPAR,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600307  ,CORNING GLASS                   ,,20210403,I,LDC,D,MPL,STEUBEN,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,,CORNING,EMPIWEST,MPLSUBSY,,T,,Y,W,20160520 11:36
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600311  ,WALTON                          ,19000101,,A,LDC,D,MPL,DELAWARE,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600311,WALTON,HANCOCK,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600312  ,HANCOCK                         ,19000101,,A,LDC,D,MPL,DELAWARE,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600312,HANCOCK,HANCOCK,MPLSUBSY,,T,,Y,E,20160722 22:11
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600314  ,CENTRAL HUDSON                  ,19000101,,A,LDC,D,MPL,ORANGE,NY,Y,N,Central Hudson Gas & Electric Corporation,006993695,,,,,WARWBUEV,MPLSUBSY,,T,,Y,E,20250404 12:48
607821050,,"Millennium Pipeline Company, L.L.C.",C000311,600316  ,NYS OWEGO                       ,19000101,,A,LDC,D,MPL,TIOGA,NY,Y,Y,New York State Electric & Gas Corporation,041866497,,C000621,600316,OWEGO,STAGWEST,MPLSUBSY,,T,,Y,E,20160722 22:11
