TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
021632583,,Northern Border Pipeline Company,C000626,ABERDE  ,Aberdeen,19821001,,A,INT,D,,BROWN,SD,Y,Y,Northern Natural Gas Company,784158214,,C000060,193,NBPL/NNG Aberdeen,POM Vent,POM-Vent,,T,,N,ABERDE,20230523 14:09
021632583,,Northern Border Pipeline Company,C000626,ABERDETP,Aberdeen TP,19921101,,A,VIR,R,,BROWN,SD,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,ABERDE,20230825 13:42
021632583,,Northern Border Pipeline Company,C000626,ACKLEY  ,Ackley,20050128,,A,LDC,D,,HARDIN,IA,Y,N,"Black Hills Service Company, LLC",079534838,,,,,Vent NH,Vent-NH,,T,,N,ACKLEY,20230825 09:44
021632583,,Northern Border Pipeline Company,C000626,ACKLEYTP,Ackley TP,20050128,,A,VIR,R,,HARDIN,IA,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,ACKLEY,20230825 13:43
021632583,,Northern Border Pipeline Company,C000626,ADM     ,Admin Point,19000101,,A,VIR,B,,HANCOCK,IA,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,,20240221 07:56
021632583,,Northern Border Pipeline Company,C000626,ALEXAN  ,Alexander,20171109,,A,WHD,R,,MCKENZIE,ND,Y,N,"Arrow Field Services, LLC",078856087,,,,,POM Vent,POM-Vent,,T,,N,ALEXAN,20240117 09:10
021632583,,Northern Border Pipeline Company,C000626,ALEXANTP,Alexander TP,20171109,,A,VIR,R,,MCKENZIE,ND,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,ALEXAN,20230825 13:47
021632583,,Northern Border Pipeline Company,C000626,AMANA   ,Amana,19921101,,A,INT,D,,POWESHIEK,IA,Y,Y,Natural Gas Pipeline Company of America LLC,006931794,,C002096,109731,Amana,Vent NH,Vent-NH,,T,,N,AMANA,20230517 16:12
021632583,,Northern Border Pipeline Company,C000626,AMANATP ,Amana TP,19921101,,A,VIR,R,,POWESHIEK,IA,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,AMANA,20230825 13:47
021632583,,Northern Border Pipeline Company,C000626,ASTO    ,Astoria,20201029,,A,EGN,D,,DEUEL,SD,Y,N,Otter Tail Power Company,006961353,,,,,POM Vent,POM-Vent,,T,,N,ASTO,20230130 08:26
021632583,,Northern Border Pipeline Company,C000626,ASTOTP  ,Astoria TP,20201029,,A,VIR,R,,DEUEL,SD,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,ASTO,20230825 13:47
021632583,,Northern Border Pipeline Company,C000626,ATALIS  ,Atalissa,20181025,,A,LDC,D,,MUSCATINE,IA,Y,N,MidAmerican Energy Company,884718768,,,,,Vent NH,Vent-NH,,T,,N,ATALIS,20230130 08:57
021632583,,Northern Border Pipeline Company,C000626,ATALISTP,Atalissa TP,20181025,,A,VIR,R,,MUSCATINE,IA,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,ATALIS,20230825 13:47
021632583,,Northern Border Pipeline Company,C000626,BALATO  ,Balaton,19961119,,A,IND,D,,LYON,MN,Y,N,"Minnesota Corn Processors, LLC",062692033,,,,,POM Vent,POM-Vent,,T,,N,BALATO,20230130 09:23
021632583,,Northern Border Pipeline Company,C000626,BALATOTP,Balaton TP,19961119,,A,VIR,R,,LYON,MN,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,BALATO,20230825 13:48
021632583,,Northern Border Pipeline Company,C000626,BEAMAN  ,Beaman,19921101,,A,INT,D,,GRUNDY,IA,Y,Y,Natural Gas Pipeline Company of America LLC,006931794,,C002096,112524,Beaman,Vent NH,Vent-NH,,T,,N,BEAMAN,20230517 16:12
021632583,,Northern Border Pipeline Company,C000626,BEAMANTP,Beaman TP,19921101,,A,VIR,R,,GRUNDY,IA,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,BEAMAN,20230825 13:48
021632583,,Northern Border Pipeline Company,C000626,BRANDT  ,Brandt,20031101,,A,LDC,D,,DEUEL,SD,Y,N,NorthWestern Energy Public Service Corporation,129287403,,,,,POM Vent,POM-Vent,,T,,N,BRANDT,20250919 10:13
021632583,,Northern Border Pipeline Company,C000626,BRANDTTP,Brandt TP,20031101,,A,VIR,R,,DEUEL,SD,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,BRANDT,20230825 13:48
021632583,,Northern Border Pipeline Company,C000626,CEESI   ,CEESI,20030601,,A,IND,B,,HANCOCK,IA,Y,N,"Colorado Engineering Experiment Station of Iowa, Inc.",099172640,,,,,POM Vent,POM-Vent,,T,,N,CEESI,20230130 09:26
021632583,,Northern Border Pipeline Company,C000626,CHANNA  ,Channahon,19981222,,A,INT,B,,WILL,IL,Y,Y,Midwestern Gas Transmission Company,006792451,,C000582,227982,Channahon,Vent NH,Vent-NH,,T,,N,CHANNA,20230913 16:31
021632583,,Northern Border Pipeline Company,C000626,CHANNATP,Channahon TP,19981222,,A,VIR,R,,WILL,IL,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,CHANNA,20230825 13:48
021632583,,Northern Border Pipeline Company,C000626,CHARBO  ,Charbonneau,20081224,,A,INT,B,,MCKENZIE,ND,Y,N,"WBI Energy Transmission, Inc.",131537896,,,,,POM Vent,POM-Vent,,T,,N,CHARBO,20250221 07:58
021632583,,Northern Border Pipeline Company,C000626,CHARBOTP,Charbonneau TP,20081224,,A,VIR,R,,MCKENZIE,ND,N,N,,,,,,,POM Vent,POM-Vent,,T,,N,CHARBO,20230825 13:49
021632583,,Northern Border Pipeline Company,C000626,CLINTN  ,Clinton,20170113,,A,LDC,D,,SCOTT,IA,Y,N,Interstate Power and Light Company,006940522,,,,,Vent NH,Vent-NH,,T,,N,CLINTN,20230130 09:28
021632583,,Northern Border Pipeline Company,C000626,CLINTNTP,Clinton TP,20170113,,A,VIR,R,,SCOTT,IA,N,N,,,,,,,Vent NH,Vent-NH,,T,,N,CLINTN,20230825 13:49
